date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-10-05 19:00:00+00:00,FC Utrecht,RKC Waalwijk,3,2,HOME_TEAM
2024-10-06 10:15:00+00:00,Go Ahead Eagles,Heracles Almelo,4,1,HOME_TEAM
2024-10-06 12:30:00+00:00,SC Heerenveen,PEC Zwolle,1,1,DRAW
2024-10-06 12:30:00+00:00,Feyenoord Rotterdam,FC Twente '65,2,1,HOME_TEAM
2024-10-06 14:45:00+00:00,AFC Ajax,FC Groningen,3,1,HOME_TEAM
2024-10-06 18:00:00+00:00,Fortuna Sittard,AZ,1,0,HOME_TEAM
2024-10-19 14:30:00+00:00,Sparta Rotterdam,Almere City FC,2,2,DRAW
2024-10-19 16:45:00+00:00,AZ,PSV,1,2,AWAY_TEAM
2024-10-19 18:00:00+00:00,RKC Waalwijk,FC Twente '65,2,2,DRAW
2024-10-19 18:00:00+00:00,NEC,SC Heerenveen,3,0,HOME_TEAM
2024-10-19 19:00:00+00:00,Go Ahead Eagles,Feyenoord Rotterdam,1,5,AWAY_TEAM
2024-10-20 10:15:00+00:00,Willem II Tilburg,Fortuna Sittard,0,0,DRAW
2024-10-20 12:30:00+00:00,FC Groningen,FC Utrecht,0,1,AWAY_TEAM
2024-10-20 12:30:00+00:00,Heracles Almelo,AFC Ajax,3,4,AWAY_TEAM
2024-10-20 14:45:00+00:00,PEC Zwolle,NAC Breda,1,2,AWAY_TEAM
2024-10-25 18:00:00+00:00,Almere City FC,NEC,1,0,HOME_TEAM
2024-10-26 14:30:00+00:00,Fortuna Sittard,FC Groningen,1,0,HOME_TEAM
2024-10-26 16:45:00+00:00,PSV,PEC Zwolle,6,0,HOME_TEAM
2024-10-26 18:00:00+00:00,NAC Breda,RKC Waalwijk,4,1,HOME_TEAM
2024-10-26 19:00:00+00:00,SC Heerenveen,Sparta Rotterdam,2,0,HOME_TEAM
2024-10-27 11:15:00+00:00,FC Utrecht,Feyenoord Rotterdam,0,2,AWAY_TEAM
2024-10-27 13:30:00+00:00,FC Twente '65,Heracles Almelo,5,0,HOME_TEAM
2024-10-27 15:45:00+00:00,AFC Ajax,Willem II Tilburg,1,0,HOME_TEAM
2024-10-27 19:00:00+00:00,AZ,Go Ahead Eagles,2,2,DRAW
2024-10-30 17:00:00+00:00,Feyenoord Rotterdam,AFC Ajax,0,2,AWAY_TEAM
2024-11-02 15:30:00+00:00,Willem II Tilburg,FC Twente '65,0,1,AWAY_TEAM
2024-11-02 17:45:00+00:00,AFC Ajax,PSV,3,2,HOME_TEAM
2024-11-02 17:45:00+00:00,Heracles Almelo,NAC Breda,2,0,HOME_TEAM
2024-11-02 20:00:00+00:00,Feyenoord Rotterdam,AZ,3,2,HOME_TEAM
2024-11-02 20:00:00+00:00,Fortuna Sittard,SC Heerenveen,3,0,HOME_TEAM
2024-11-03 11:15:00+00:00,Go Ahead Eagles,PEC Zwolle,2,2,DRAW
2024-11-03 13:30:00+00:00,NEC,FC Groningen,6,0,HOME_TEAM
2024-11-03 13:30:00+00:00,Sparta Rotterdam,FC Utrecht,1,4,AWAY_TEAM
2024-11-03 15:45:00+00:00,RKC Waalwijk,Almere City FC,2,0,HOME_TEAM
2024-11-08 19:00:00+00:00,FC Utrecht,Heracles Almelo,1,0,HOME_TEAM
2024-11-09 15:30:00+00:00,FC Groningen,Sparta Rotterdam,1,0,HOME_TEAM
2024-11-09 17:45:00+00:00,PEC Zwolle,Fortuna Sittard,3,1,HOME_TEAM
2024-11-09 19:00:00+00:00,NAC Breda,PSV,0,3,AWAY_TEAM
2024-11-09 20:00:00+00:00,RKC Waalwijk,NEC,0,3,AWAY_TEAM
2024-11-10 11:15:00+00:00,Almere City FC,Feyenoord Rotterdam,1,4,AWAY_TEAM
2024-11-10 13:30:00+00:00,SC Heerenveen,Go Ahead Eagles,1,0,HOME_TEAM
2024-11-10 13:30:00+00:00,FC Twente '65,AFC Ajax,2,2,DRAW
2024-11-10 15:45:00+00:00,AZ,Willem II Tilburg,1,2,AWAY_TEAM
2024-11-23 15:30:00+00:00,Go Ahead Eagles,Almere City FC,3,0,HOME_TEAM
2024-11-23 17:45:00+00:00,Feyenoord Rotterdam,SC Heerenveen,3,0,HOME_TEAM
2024-11-23 17:45:00+00:00,Heracles Almelo,RKC Waalwijk,2,2,DRAW
